class,precision,recall,f1_score,support
Real,0.78125,0.746268656716418,0.7633587786259542,67
Deepfake,0.7586206896551724,0.88,0.8148148148148148,50
Diffusion,0.8421052631578947,0.7441860465116279,0.7901234567901234,43
Macro Avg,0.7939919842710225,0.790151567742682,0.7894323500769641,160
Weighted Avg,0.7905331924909256,0.7875,0.7866317971915936,160
