Metric,Score
Accuracy,0.78125
Macro Precision,0.7864039318359285
Macro Recall,0.7907300705773458
Macro F1,0.7851851851851852
Weighted Precision,0.7856130287997795
Weighted Recall,0.78125
Weighted F1,0.7799603174603175
Macro AUC,0.9100009663956771
Weighted AUC,0.9059449332029977
