alpha_3class,fake_threshold,macro_f1,accuracy
0.0,0.3,0.7417464698808139,0.7390625
0.0,0.31,0.7447407278680015,0.7421875
0.0,0.32,0.7491055843997021,0.746875
0.0,0.33,0.7476014342332368,0.7453125
0.0,0.34,0.7504818880746962,0.7484375
0.0,0.35000000000000003,0.7534841502583438,0.7515625
0.0,0.36000000000000004,0.7519624665552361,0.75
0.0,0.37000000000000005,0.75339551937703,0.7515625
0.0,0.38000000000000006,0.7517113397343094,0.75
0.0,0.39000000000000007,0.7517113397343094,0.75
0.0,0.4000000000000001,0.7501189829380572,0.7484375
0.0,0.4100000000000001,0.752975691798946,0.7515625
0.0,0.4200000000000001,0.7542963809160023,0.753125
0.0,0.4300000000000001,0.7557213294850978,0.7546875
0.0,0.4400000000000001,0.7587907143533742,0.7578125
0.0,0.4500000000000001,0.7600094739405004,0.759375
0.0,0.46000000000000013,0.7628332829031162,0.7625
0.0,0.47000000000000014,0.7612845098279096,0.7609375
0.0,0.48000000000000015,0.7658126911486648,0.765625
0.0,0.49000000000000016,0.7610920789445451,0.7609375
0.0,0.5000000000000002,0.759265604195391,0.759375
0.0,0.5100000000000002,0.7588219704498774,0.759375
0.0,0.5200000000000002,0.7615995288892484,0.7625
0.0,0.5300000000000002,0.7615995288892484,0.7625
0.0,0.5400000000000003,0.7597920509771807,0.7609375
0.0,0.5500000000000003,0.7549784556895344,0.75625
0.0,0.5600000000000003,0.7567245000638047,0.7578125
0.0,0.5700000000000003,0.7535147517227427,0.7546875
0.0,0.5800000000000003,0.7551612197757498,0.75625
0.0,0.5900000000000003,0.7577810820400052,0.759375
0.0,0.6000000000000003,0.7620149305593656,0.7640625
0.0,0.6100000000000003,0.760156302804746,0.7625
0.0,0.6200000000000003,0.7588031735640515,0.7609375
0.0,0.6300000000000003,0.7571988807421199,0.759375
0.0,0.6400000000000003,0.7587285241361655,0.7609375
0.0,0.6500000000000004,0.7584579484571267,0.7609375
0.0,0.6600000000000004,0.7537503178235444,0.75625
0.0,0.6700000000000004,0.7490239277039192,0.7515625
0.0,0.6800000000000004,0.7500893935185032,0.753125
