Metric,Score
Accuracy,0.8166666666666667
Macro Precision,0.8227457067740672
Macro Recall,0.8165730086522166
Macro F1,0.8185952235776573
Weighted Precision,0.8193255649717515
Weighted Recall,0.8166666666666667
Weighted F1,0.8170856025694735
Macro AUC,0.9164055638976448
Weighted AUC,0.9136074771852054
