class,precision,recall,f1_score,support
Real,0.8118811881188119,0.8118811881188119,0.8118811881188119,101
Deepfake,0.775,0.8378378378378378,0.8051948051948052,74
Diffusion,0.8813559322033898,0.8,0.8387096774193549,65
Macro Avg,0.8227457067740672,0.8165730086522167,0.8185952235776573,240
Weighted Avg,0.8193255649717515,0.8166666666666667,0.8170856025694735,240
