feature_group,selected_features,n_group_features,n_total_features,accuracy,precision,recall,macro_f1,macro_auc,weighted_auc,is_selected
Boundary,(none),0,6,0.66875,0.6717273427946956,0.6759484534831937,0.6729412707914654,0.8275449059010623,0.8201605221806691,False
Boundary,boundary_score_mean,1,7,0.690625,0.6911274587354321,0.6975510812361044,0.6934332063680859,0.850967311486931,0.843716184218405,False
Boundary,boundary_score_std,1,7,0.6828125,0.6846621392075938,0.6916137702293131,0.6870261278261508,0.8501691082392445,0.8431607836833548,False
Boundary,boundary_score_max,1,7,0.6671875,0.6690133791258369,0.6791759592840395,0.6727558172531993,0.8457283098433287,0.838517760135969,False
Boundary,boundary_score_mean + boundary_score_std,2,8,0.715625,0.7154581398335945,0.7237311353368995,0.7186693072657985,0.8727777033838008,0.8665768602976154,False
Boundary,boundary_score_mean + boundary_score_max,2,8,0.70625,0.7055258467023172,0.7146676925369668,0.7087644080682972,0.8692463734548111,0.8633278397605302,False
Boundary,boundary_score_std + boundary_score_max,2,8,0.696875,0.6968012886321074,0.7088304558711146,0.70054805121711,0.8565361088329727,0.8505886821982169,False
Boundary,boundary_score_mean + boundary_score_std + boundary_score_max,3,9,0.7296875,0.7290502426866063,0.7384676235679839,0.7325443252807569,0.8753286795820766,0.8692455607547869,True
Identity,(none),0,9,0.7296875,0.7290502426866063,0.7384676235679839,0.7325443252807569,0.8753286795820766,0.8692455607547869,False
Identity,identity_sim_mean,1,10,0.7328125,0.7339025598954528,0.743203176038997,0.7377987647869543,0.8905306871307025,0.8846751447020464,False
Identity,identity_sim_std,1,10,0.7625,0.7613678196369701,0.7683123047250685,0.7642910675504164,0.8990766165475894,0.8941592264817967,True
Identity,identity_sim_min,1,10,0.75625,0.7555192290491949,0.7624824328375538,0.7584884048466228,0.8986599207943385,0.8935344474867553,False
Identity,identity_sim_mean + identity_sim_std,2,11,0.7609375,0.7618464094045488,0.7668610101703256,0.7641245560766908,0.8995745370475091,0.8941667520212061,False
Identity,identity_sim_mean + identity_sim_min,2,11,0.7453125,0.7469400760858047,0.7517848756912061,0.749157035296939,0.8980516561064652,0.8925063552425385,False
Identity,identity_sim_std + identity_sim_min,2,11,0.7546875,0.7543277267415198,0.7614461652032419,0.7573688448687581,0.8999965809342804,0.895081604062114,False
Identity,identity_sim_mean + identity_sim_std + identity_sim_min,3,12,0.7578125,0.757510921479927,0.7643734479812708,0.7604660792668909,0.9030974140118805,0.8978165642431772,False
