subgroup,true_label,n,accuracy,predicted_as_diffusion,predicted_as_real
real(subject_pattern),real,14,0.07142857142857142,0.9285714285714286,0.07142857142857142
real(numeric),real,80,0.0875,0.9125,0.0875
real(id_pattern),real,104,0.22115384615384615,0.7788461538461539,0.22115384615384615
grok,diffusion,10,0.3,0.3,0.7
kling,diffusion,18,0.4444444444444444,0.4444444444444444,0.5555555555555556
sora,diffusion,54,0.6111111111111112,0.6111111111111112,0.3888888888888889
seedance,diffusion,19,0.631578947368421,0.631578947368421,0.3684210526315789
veo,diffusion,10,1.0,1.0,0.0
