임계값 비교 (ambiguous 없음, 둘 다 높으면 더 높은 쪽 선택)
선정 기준: macro_f1 최대 → accuracy → min_recall
그리드: 0.30 ~ 0.80 step 0.05 (11x11 = 121 조합)
기준(0.50/0.50): accuracy=0.715, macro_f1=0.712, min_recall=0.700
[추천] tau_diff=0.55, tau_df=0.60  accuracy=0.733, macro_f1=0.728, min_recall=0.694
  recall_real=0.782, recall_diffusion=0.700, recall_deepfake=0.694
----------------------------------------------------------------------------------------
rank  tau_d  tau_df     acc  macroF1   minR  R_real  R_diff    R_df
  84   0.80    0.70   0.716    0.703  0.562   0.866   0.562   0.649
  85   0.60    0.35   0.704    0.703  0.673   0.681   0.673   0.762
  86   0.70    0.40   0.706    0.702  0.618   0.722   0.618   0.762
  87   0.35    0.40   0.702    0.702  0.648   0.648   0.733   0.750
  88   0.75    0.75   0.714    0.702  0.594   0.869   0.594   0.609
  89   0.45    0.40   0.702    0.701  0.666   0.666   0.705   0.750
  90   0.75    0.45   0.708    0.701  0.594   0.752   0.594   0.746
  91   0.45    0.80   0.708    0.701  0.577   0.794   0.724   0.577
  92   0.70    0.80   0.712    0.701  0.577   0.872   0.622   0.577
  93   0.40    0.40   0.701    0.701  0.657   0.657   0.714   0.750
  94   0.80    0.50   0.710    0.701  0.562   0.785   0.562   0.738
  95   0.30    0.40   0.700    0.700  0.636   0.636   0.742   0.750
  96   0.65    0.35   0.701    0.699  0.645   0.690   0.645   0.766
  97   0.55    0.30   0.698    0.698  0.648   0.648   0.700   0.762
  98   0.50    0.35   0.698    0.697  0.651   0.651   0.700   0.758
  99   0.80    0.45   0.705    0.696  0.562   0.761   0.562   0.754
 100   0.75    0.80   0.709    0.696  0.577   0.878   0.599   0.577
 101   0.80    0.75   0.710    0.696  0.562   0.878   0.562   0.613
 102   0.75    0.40   0.701    0.696  0.594   0.725   0.594   0.762
 103   0.35    0.35   0.695    0.695  0.624   0.624   0.733   0.758
 104   0.60    0.30   0.695    0.695  0.660   0.660   0.673   0.762
 105   0.45    0.35   0.695    0.695  0.642   0.642   0.705   0.758
 106   0.70    0.35   0.698    0.695  0.618   0.696   0.618   0.770
 107   0.30    0.35   0.694    0.694  0.615   0.615   0.742   0.758
 108   0.40    0.35   0.694    0.694  0.633   0.633   0.714   0.758
 109   0.80    0.40   0.699    0.691  0.562   0.734   0.562   0.770
 110   0.65    0.30   0.691    0.690  0.645   0.666   0.645   0.766
 111   0.50    0.30   0.690    0.690  0.633   0.633   0.700   0.758
 112   0.75    0.35   0.692    0.689  0.594   0.699   0.594   0.770
 113   0.80    0.80   0.702    0.688  0.562   0.887   0.562   0.577
 114   0.35    0.30   0.688    0.688  0.606   0.606   0.733   0.758
 115   0.45    0.30   0.688    0.688  0.624   0.624   0.705   0.758
 116   0.30    0.30   0.686    0.687  0.597   0.597   0.742   0.758
 117   0.40    0.30   0.686    0.687  0.615   0.615   0.714   0.758
 118   0.70    0.30   0.688    0.686  0.618   0.672   0.618   0.770
 119   0.80    0.35   0.690    0.684  0.562   0.707   0.562   0.778
 120   0.75    0.30   0.682    0.680  0.594   0.675   0.594   0.770
 121   0.80    0.30   0.680    0.675  0.562   0.684   0.562   0.778
