feature,mean_abs_shap_real,mean_abs_shap_diffusion,mean_abs_shap_deepfake,mean_abs_shap_overall
bvp_std,0.47713345,1.4393563,0.17700134,0.6978305
identity_sim_std,0.76275796,0.17256895,0.8695286,0.6016186
boundary_score_std,0.20637977,0.58992517,0.12496009,0.30708817
highfreq_score,0.26770306,0.2526473,0.3129406,0.27776355
patch_signal_std_mean,0.18977343,0.23264126,0.28800315,0.23680596
boundary_score_mean,0.15942879,0.121472254,0.412405,0.231102
d3_temporal_score,0.18951608,0.20740132,0.18081036,0.19257596
boundary_score_max,0.1448935,0.21866274,0.16939259,0.1776496
patch_corr_mean,0.11193713,0.12361832,0.15209952,0.12921831
absdiff_std,0.06370458,0.08764972,0.13151763,0.094290614
