Metric,Score
Accuracy,0.9139784946236559
Macro Precision,0.9134392393320965
Macro Recall,0.9139672587948451
Macro F1,0.9136765772298767
Weighted Precision,0.9140863456819678
Weighted Recall,0.9139784946236559
Weighted F1,0.914005941659454
ROC AUC,0.967200743062812
