Metric,Score
Accuracy,0.75625
Macro Precision,0.7550300499133439
Macro Recall,0.763154360555287
Macro F1,0.7582581163070513
Weighted Precision,0.7567874444629857
Weighted Recall,0.75625
Weighted F1,0.7557210916673265
Macro AUC,0.8899016604197992
Weighted AUC,0.88307947625763
