Metric,Score
Accuracy,0.8817204301075269
Macro Precision,0.8932748538011696
Macro Recall,0.8753488372093023
Macro F1,0.8789778776765645
Weighted Precision,0.889423379236622
Weighted Recall,0.8817204301075269
Weighted F1,0.8803491538920457
ROC AUC,0.9311627906976745
