Metric,Score
Accuracy,0.78125
Macro Precision,0.7912696612220206
Macro Recall,0.7845701723938446
Macro F1,0.7853171237395156
Weighted Precision,0.7868296988430126
Weighted Recall,0.78125
Weighted F1,0.7816935255866554
Macro AUC,0.8948817034246153
Weighted AUC,0.8916970887535403
