Metric,Score
Accuracy,0.80625
Macro Precision,0.8020833333333333
Macro Recall,0.7978655111539079
Macro F1,0.7996688073023951
Weighted Precision,0.80546875
Weighted Recall,0.80625
Weighted F1,0.8055691869623167
ROC AUC,0.8675974963890226
