class,precision,recall,f1_score,support
Deepfake,0.8421052631578947,0.96,0.897196261682243,50
Diffusion,0.9444444444444444,0.7906976744186046,0.8607594936708861,43
Macro Avg,0.8932748538011696,0.8753488372093023,0.8789778776765645,93
Weighted Avg,0.889423379236622,0.8817204301075269,0.8803491538920457,93
