class,precision,recall,f1_score,support
Real,0.78125,0.746268656716418,0.7633587786259542,67
Deepfake,0.7241379310344828,0.84,0.7777777777777778,50
Diffusion,0.868421052631579,0.7674418604651163,0.8148148148148148,43
Macro Avg,0.7912696612220206,0.7845701723938449,0.7853171237395156,160
Weighted Avg,0.7868296988430126,0.78125,0.7816935255866554,160
