class,precision,recall,f1_score,support
Real,0.78125,0.746268656716418,0.7633587786259542,67
Fake,0.8229166666666666,0.8494623655913979,0.8359788359788359,93
Macro Avg,0.8020833333333333,0.7978655111539079,0.7996688073023951,160
Weighted Avg,0.80546875,0.80625,0.8055691869623167,160
