preset,fake_weight,threshold,cv_macro_f1,cv_accuracy,cv_macro_auc,cv_fake_recall,cv_stage1_acc,n_stage1,n_stage2,stage1_features,stage2_features
top_split,1.5,0.45,0.7466632169317048,0.74375,0.8903841656892498,0.8575268817204301,0.78125,5,5,"identity_sim_std,bvp_std,highfreq_score,boundary_score_mean,boundary_score_std","bvp_std,identity_sim_std,boundary_score_std,boundary_score_mean,highfreq_score"
all,1.5,0.5,0.746565193167135,0.7453125,0.8941304657588723,0.8655913978494624,0.79375,10,10,"absdiff_std,bvp_std,d3_temporal_score,highfreq_score,patch_corr_mean,patch_signal_std_mean,boundary_score_mean,boundary_score_std,boundary_score_max,identity_sim_std","absdiff_std,bvp_std,d3_temporal_score,highfreq_score,patch_corr_mean,patch_signal_std_mean,boundary_score_mean,boundary_score_std,boundary_score_max,identity_sim_std"
top_split,1.5,0.4,0.7464433725853246,0.74375,0.8903841656892498,0.8763440860215054,0.7828125,5,5,"identity_sim_std,bvp_std,highfreq_score,boundary_score_mean,boundary_score_std","bvp_std,identity_sim_std,boundary_score_std,boundary_score_mean,highfreq_score"
all_vs_face_bvp,1.0,0.4,0.7459541194794225,0.7453125,0.8881193599857097,0.8763440860215054,0.8,10,5,"absdiff_std,bvp_std,d3_temporal_score,highfreq_score,patch_corr_mean,patch_signal_std_mean,boundary_score_mean,boundary_score_std,boundary_score_max,identity_sim_std","identity_sim_std,boundary_score_mean,boundary_score_std,boundary_score_max,bvp_std"
all,2.0,0.5,0.7452119141227725,0.74375,0.8923861698057571,0.8682795698924731,0.7921875,10,10,"absdiff_std,bvp_std,d3_temporal_score,highfreq_score,patch_corr_mean,patch_signal_std_mean,boundary_score_mean,boundary_score_std,boundary_score_max,identity_sim_std","absdiff_std,bvp_std,d3_temporal_score,highfreq_score,patch_corr_mean,patch_signal_std_mean,boundary_score_mean,boundary_score_std,boundary_score_max,identity_sim_std"
all,1.5,0.4,0.7439372286332454,0.7421875,0.8941304657588723,0.8897849462365591,0.79375,10,10,"absdiff_std,bvp_std,d3_temporal_score,highfreq_score,patch_corr_mean,patch_signal_std_mean,boundary_score_mean,boundary_score_std,boundary_score_max,identity_sim_std","absdiff_std,bvp_std,d3_temporal_score,highfreq_score,patch_corr_mean,patch_signal_std_mean,boundary_score_mean,boundary_score_std,boundary_score_max,identity_sim_std"
top_split,2.0,0.4,0.743486200850542,0.740625,0.8883279384494257,0.8978494623655914,0.7828125,5,5,"identity_sim_std,bvp_std,highfreq_score,boundary_score_mean,boundary_score_std","bvp_std,identity_sim_std,boundary_score_std,boundary_score_mean,highfreq_score"
all_vs_face_bvp,1.0,0.55,0.743259085674863,0.74375,0.8881193599857097,0.8333333333333334,0.7953125,10,5,"absdiff_std,bvp_std,d3_temporal_score,highfreq_score,patch_corr_mean,patch_signal_std_mean,boundary_score_mean,boundary_score_std,boundary_score_max,identity_sim_std","identity_sim_std,boundary_score_mean,boundary_score_std,boundary_score_max,bvp_std"
all_vs_face_bvp,2.0,0.55,0.7431251377775442,0.7421875,0.8858287253581943,0.8575268817204301,0.79375,10,5,"absdiff_std,bvp_std,d3_temporal_score,highfreq_score,patch_corr_mean,patch_signal_std_mean,boundary_score_mean,boundary_score_std,boundary_score_max,identity_sim_std","identity_sim_std,boundary_score_mean,boundary_score_std,boundary_score_max,bvp_std"
all_vs_face_bvp,1.0,0.45,0.7429265921244532,0.7421875,0.8881193599857097,0.8575268817204301,0.79375,10,5,"absdiff_std,bvp_std,d3_temporal_score,highfreq_score,patch_corr_mean,patch_signal_std_mean,boundary_score_mean,boundary_score_std,boundary_score_max,identity_sim_std","identity_sim_std,boundary_score_mean,boundary_score_std,boundary_score_max,bvp_std"
all_vs_face_bvp,1.5,0.55,0.7429070840292251,0.7421875,0.8874121441557689,0.8521505376344086,0.79375,10,5,"absdiff_std,bvp_std,d3_temporal_score,highfreq_score,patch_corr_mean,patch_signal_std_mean,boundary_score_mean,boundary_score_std,boundary_score_max,identity_sim_std","identity_sim_std,boundary_score_mean,boundary_score_std,boundary_score_max,bvp_std"
all_vs_face_bvp,1.5,0.45,0.7419435112014107,0.740625,0.8874121441557689,0.8763440860215054,0.79375,10,5,"absdiff_std,bvp_std,d3_temporal_score,highfreq_score,patch_corr_mean,patch_signal_std_mean,boundary_score_mean,boundary_score_std,boundary_score_max,identity_sim_std","identity_sim_std,boundary_score_mean,boundary_score_std,boundary_score_max,bvp_std"
all_vs_face_bvp,1.5,0.5,0.741710824235096,0.740625,0.8874121441557689,0.8655913978494624,0.79375,10,5,"absdiff_std,bvp_std,d3_temporal_score,highfreq_score,patch_corr_mean,patch_signal_std_mean,boundary_score_mean,boundary_score_std,boundary_score_max,identity_sim_std","identity_sim_std,boundary_score_mean,boundary_score_std,boundary_score_max,bvp_std"
top_split,1.5,0.3,0.7414081077726848,0.7390625,0.8903841656892498,0.9193548387096774,0.78125,5,5,"identity_sim_std,bvp_std,highfreq_score,boundary_score_mean,boundary_score_std","bvp_std,identity_sim_std,boundary_score_std,boundary_score_mean,highfreq_score"
