Metric,3-class,Hierarchical,Delta (hier - 3class)
Accuracy,0.7875,0.78125,-0.006249999999999978
Macro Precision,0.7939919842710225,0.7912696612220206,-0.0027223230490018846
Macro Recall,0.7901515677426819,0.7845701723938446,-0.005581395348837281
Macro F1,0.7894323500769641,0.7853171237395156,-0.004115226337448541
Weighted F1,0.7866317971915937,0.7816935255866554,-0.004938271604938316
Macro AUC,0.905807018588311,0.8948817034246153,-0.01092531516369577
