Metric,Score
Accuracy,0.7625
Macro Precision,0.7613678196369701
Macro Recall,0.7683123047250685
Macro F1,0.7642910675504164
Weighted Precision,0.7630845084666635
Weighted Recall,0.7625
Weighted F1,0.7622173444900644
Macro AUC,0.8990766165475894
Weighted AUC,0.8941592264817967
