rank,feature,importance_mean,importance_std
1,highfreq_score,0.21374571589151253,0.008587232159345553
2,patch_signal_std_mean,0.20497609561372016,0.010966538895252348
3,d3_temporal_score,0.1566613074617849,0.010141982113126438
4,bvp_std,0.11349739090856918,0.007053782112565859
5,absdiff_std,0.10564717822236386,0.009023459239670071
6,patch_corr_mean,0.08745624137494673,0.006094901026042063
7,pseudo_snr_db,0.07809537401337985,0.0064341190998675945
