video_name,label,success,absdiff_std,boundary_score_max,boundary_score_mean,boundary_score_std,bvp_std,d3_temporal_score,highfreq_score,identity_sim_mean,identity_sim_min,identity_sim_std,patch_corr_mean,patch_signal_std_mean,pseudo_snr_db
00024.mp4,real,True,0.027754825112587245,23.46664587020874,14.639565190248994,2.6204321076156076,0.10423685687357061,2.6488637924194336,0.043122194707393646,0.919993752245975,0.8284125344810831,0.02227566520468873,0.1424443592800808,0.31250749156064295,-2.4820423485213374
00025.mp4,real,True,0.030561184528022815,9.770647163391112,4.69830863960753,1.4723042447437134,0.11519734896276237,1.2896045446395874,0.0682852491736412,0.922427446950333,0.8619980103818057,0.023711131477116038,0.2693270272650783,0.22882811908332204,-4.424513357577633
00026.mp4,real,True,0.15057312328842748,21.42889587879181,7.82357363969864,3.5310878205374343,0.5958886196759179,2.808522939682007,0.0359627939760685,0.8967647153899799,0.7846680001673738,0.025745060694261034,0.0395087455701426,5.616742440283615,-4.64004364780488
00027.mp4,real,True,0.02250075556218306,16.532232303619384,8.846020625797477,2.683906646620158,0.08562556794035618,3.3443806171417236,0.05472809076309204,0.9171375054272194,0.8102895047726882,0.036270401023362125,0.10381528221591232,0.34712442288661705,-4.981067123187072
00028.mp4,real,True,nan,20.608810691833497,8.571303543104037,4.349650018944573,nan,6.948750972747803,0.028478318825364113,0.8275346968150197,0.09517731844705715,0.13671799413405117,nan,nan,nan
00029.mp4,real,True,0.03544791355779819,16.86575277805328,8.311904841040947,3.5485045121559593,0.1229092766347961,1.3859829902648926,0.04870013892650604,0.919742874940524,0.8506220591279968,0.020791918808885968,0.15216242993401102,0.3565790817307236,-7.2175996587078775
0003.mp4,real,True,nan,11.539308903217316,7.7883383209318735,1.7762716586779785,nan,1.0755488872528076,0.017007976770401,0.9337386256049227,0.832434247761273,0.02812510829958923,nan,nan,nan
00030.mp4,real,True,0.019365802975952993,8.426185965538025,5.092643152634471,1.2814977892932287,0.06527736146518824,1.3091415166854858,0.029255643486976624,0.9184679695672162,0.4628647975056495,0.04302609532834881,0.22181128169626393,0.1382119396349284,-8.30616495458856
00031.mp4,real,True,0.023109439536182844,17.502175006866455,10.054600467971728,2.609837324637664,0.08783058574434129,1.3679853677749634,0.01801098883152008,0.9330951150325597,0.8585849436289298,0.01845158284504222,0.07339480496378915,0.40044063296674665,-2.2718600857372455
00032.mp4,real,True,0.02463142956638591,19.037444403171538,13.253931547215382,2.721828520554873,0.1075605896158163,1.4602611064910889,0.015794578939676285,0.9134099261703255,0.8315738649293214,0.01959850775277942,0.1369120207647774,0.36085907629878156,-1.6360697566550049
00033.mp4,real,True,nan,nan,nan,nan,nan,1.9744019508361816,0.029042929410934448,nan,nan,nan,nan,nan,nan
00034.mp4,real,True,0.03871398475117755,12.40643592119217,5.6414695129666,3.2741207593505153,0.14799890783836317,1.8946021795272827,0.03394549712538719,0.8804271504800152,0.7377523973982522,0.04187646730147324,0.10024871194932379,0.5195520003249402,-6.54652809128955
00035.mp4,real,True,0.01878818169479842,19.59935670375824,12.607483779907747,3.8059044713266887,0.06728023165719266,1.0975292921066284,0.01823275350034237,0.8615971710265097,0.706020566582039,0.03883320077237937,0.03474353335033984,0.3895949914143181,-5.412072639589265
00036.mp4,real,True,0.02833764547475934,15.298990263938903,9.822627416697415,2.4049233635522382,0.1140431010298449,1.8934814929962158,0.02535146102309227,0.9397558811572733,0.8332334435164032,0.033918554765452955,0.10428329424958056,0.47976337362613525,-5.215395494801564
00037.mp4,real,True,0.031230163270985167,16.50237271308899,8.602713709013804,2.7488027555947463,0.11426509683803145,4.963501930236816,0.03283296898007393,0.9458045186347662,0.9024306746671111,0.013243123188588639,0.11588417269662425,0.39994346153401106,-3.1023102962987057
