class,precision,recall,f1_score,support
Real,0.7785714285714286,0.8134328358208955,0.7956204379562044,134
Deepfake,0.7207207207207207,0.8080808080808081,0.7619047619047619,99
Diffusion,0.8260869565217391,0.6551724137931034,0.7307692307692307,87
Macro Avg,0.7751263686046296,0.7588953525649357,0.7627648102100656,320
Weighted Avg,0.7735921499916065,0.76875,0.767558228723831,320
