feature,mean_abs_shap_real,mean_abs_shap_diffusion,mean_abs_shap_deepfake,mean_abs_shap_overall
identity_sim_std,0.68433464,0.21955195,1.0129931,0.6389599
bvp_std,0.4018426,1.2236593,0.19175026,0.6057508
highfreq_score,0.31392825,0.35266358,0.29267627,0.31975594
boundary_score_std,0.19323888,0.62280184,0.119402945,0.31181458
patch_signal_std_mean,0.2751904,0.27837762,0.25871134,0.27075973
boundary_score_mean,0.16121885,0.15586679,0.40475732,0.24061435
d3_temporal_score,0.20803627,0.2015024,0.24489446,0.21814439
patch_corr_mean,0.16721694,0.16004492,0.22323413,0.1834986
boundary_score_max,0.10070787,0.2556398,0.18318452,0.17984423
absdiff_std,0.0686867,0.07636062,0.16846916,0.104505524
