alpha_3class,fake_threshold,macro_f1,accuracy
0.0,0.3,0.7395288999413072,0.7375
0.0,0.31,0.7410607605575902,0.7390625
0.0,0.32,0.7395541156427935,0.7375
0.0,0.33,0.7471382848284699,0.7453125
0.0,0.34,0.750252643920099,0.7484375
0.0,0.35000000000000003,0.7530732180231957,0.7515625
0.0,0.36000000000000004,0.7513160376099774,0.75
0.0,0.37000000000000005,0.7528524023184612,0.7515625
0.0,0.38000000000000006,0.7526496668469206,0.7515625
0.0,0.39000000000000007,0.7525377599794719,0.7515625
0.0,0.4000000000000001,0.7540626124340962,0.753125
0.0,0.4100000000000001,0.7524712725705281,0.7515625
0.0,0.4200000000000001,0.7567470411588059,0.75625
0.0,0.4300000000000001,0.7584737318840579,0.7578125
0.0,0.4400000000000001,0.7614097213580714,0.7609375
0.0,0.4500000000000001,0.7614097213580714,0.7609375
0.0,0.46000000000000013,0.7628277184800577,0.7625
0.0,0.47000000000000014,0.7579326228363855,0.7578125
0.0,0.48000000000000015,0.7579326228363855,0.7578125
0.0,0.49000000000000016,0.7579326228363855,0.7578125
0.0,0.5000000000000002,0.7562227641259495,0.75625
0.0,0.5100000000000002,0.7604618869225086,0.7609375
0.0,0.5200000000000002,0.7590296841324006,0.759375
0.0,0.5300000000000002,0.7542698419130168,0.7546875
0.0,0.5400000000000003,0.7506935486357728,0.7515625
0.0,0.5500000000000003,0.7534831753891905,0.7546875
0.0,0.5600000000000003,0.7564394770004789,0.7578125
0.0,0.5700000000000003,0.7527811172418661,0.7546875
0.0,0.5800000000000003,0.7523023311967759,0.7546875
0.0,0.5900000000000003,0.7535395718598545,0.75625
0.0,0.6000000000000003,0.756465105488687,0.759375
0.0,0.6100000000000003,0.7548314292425159,0.7578125
0.0,0.6200000000000003,0.754804079557676,0.7578125
0.0,0.6300000000000003,0.7546374623999283,0.7578125
0.0,0.6400000000000003,0.7543583042611698,0.7578125
0.0,0.6500000000000004,0.756014399890136,0.759375
0.0,0.6600000000000004,0.7544185240681357,0.7578125
0.0,0.6700000000000004,0.7494912696447731,0.753125
0.0,0.6800000000000004,0.747838443914351,0.7515625
0.0,0.6900000000000004,0.747838443914351,0.7515625
0.0,0.7000000000000004,0.7398052494816613,0.74375
0.05,0.3,0.7394549620240136,0.7375
0.05,0.31,0.7425729116045835,0.740625
0.05,0.32,0.742716791977332,0.740625
0.05,0.33,0.7472434143662934,0.7453125
0.05,0.34,0.7531474187371047,0.7515625
0.05,0.35000000000000003,0.7560396880711798,0.7546875
0.05,0.36000000000000004,0.7529920646279598,0.7515625
0.05,0.37000000000000005,0.7528440198066271,0.7515625
0.05,0.38000000000000006,0.7558183995125232,0.7546875
0.05,0.39000000000000007,0.7541880081067048,0.753125
0.05,0.4000000000000001,0.7495191837243024,0.7484375
0.05,0.4100000000000001,0.7538053032271357,0.753125
0.05,0.4200000000000001,0.7553219642975607,0.7546875
0.05,0.4300000000000001,0.7583808033804021,0.7578125
0.05,0.4400000000000001,0.7614097213580714,0.7609375
0.05,0.4500000000000001,0.7628277184800577,0.7625
0.05,0.46000000000000013,0.7628277184800577,0.7625
0.05,0.47000000000000014,0.7610910889599415,0.7609375
0.05,0.48000000000000015,0.75948723650046,0.759375
0.05,0.49000000000000016,0.7563744780725866,0.75625
0.05,0.5000000000000002,0.7577862421804772,0.7578125
0.05,0.5100000000000002,0.754655629170363,0.7546875
0.05,0.5200000000000002,0.7559576604944899,0.75625
0.05,0.5300000000000002,0.7557049467754459,0.75625
0.05,0.5400000000000003,0.7541767524443178,0.7546875
0.05,0.5500000000000003,0.7535684719781405,0.7546875
0.05,0.5600000000000003,0.7563535368831614,0.7578125
0.05,0.5700000000000003,0.7590021783002667,0.7609375
0.05,0.5800000000000003,0.7586370340341902,0.7609375
0.05,0.5900000000000003,0.7521597234395262,0.7546875
0.05,0.6000000000000003,0.7553634456811228,0.7578125
0.05,0.6100000000000003,0.758206286467156,0.7609375
0.05,0.6200000000000003,0.7565737920963117,0.759375
0.05,0.6300000000000003,0.7592612283833019,0.7625
0.05,0.6400000000000003,0.7545482537191028,0.7578125
0.05,0.6500000000000004,0.7545482537191028,0.7578125
0.05,0.6600000000000004,0.7576765892641087,0.7609375
0.05,0.6700000000000004,0.7560292623357011,0.759375
0.05,0.6800000000000004,0.747838443914351,0.7515625
0.05,0.6900000000000004,0.7445575976909152,0.7484375
0.05,0.7000000000000004,0.7410535232802461,0.7453125
0.1,0.3,0.7379802705556902,0.7359375
0.1,0.31,0.7425729116045835,0.740625
0.1,0.32,0.7471571864711706,0.7453125
0.1,0.33,0.7517449469327729,0.75
0.1,0.34,0.753112526873263,0.7515625
0.1,0.35000000000000003,0.7560396880711798,0.7546875
0.1,0.36000000000000004,0.7560396880711798,0.7546875
0.1,0.37000000000000005,0.754433923630249,0.753125
0.1,0.38000000000000006,0.7528440198066271,0.7515625
0.1,0.39000000000000007,0.7527855570892404,0.7515625
0.1,0.4000000000000001,0.7569964393863765,0.75625
0.1,0.4100000000000001,0.7569964393863765,0.75625
0.1,0.4200000000000001,0.7555550967585285,0.7546875
0.1,0.4300000000000001,0.7569564698582406,0.75625
0.1,0.4400000000000001,0.7598949063479955,0.759375
0.1,0.4500000000000001,0.7613160257952482,0.7609375
0.1,0.46000000000000013,0.76424572035019,0.7640625
0.1,0.47000000000000014,0.761132374694269,0.7609375
0.1,0.48000000000000015,0.7595345868546722,0.759375
0.1,0.49000000000000016,0.7579326228363855,0.7578125
0.1,0.5000000000000002,0.7579326228363855,0.7578125
0.1,0.5100000000000002,0.7530544079393184,0.753125
0.1,0.5200000000000002,0.7545528296313108,0.7546875
0.1,0.5300000000000002,0.7558821204931491,0.75625
0.1,0.5400000000000003,0.7570105397177512,0.7578125
0.1,0.5500000000000003,0.7535684719781405,0.7546875
0.1,0.5600000000000003,0.7563535368831614,0.7578125
0.1,0.5700000000000003,0.7590866721817667,0.7609375
0.1,0.5800000000000003,0.7588643008122276,0.7609375
0.1,0.5900000000000003,0.7559008595615344,0.7578125
0.1,0.6000000000000003,0.7553634456811228,0.7578125
0.1,0.6100000000000003,0.7567375381392601,0.759375
0.1,0.6200000000000003,0.7597657780771369,0.7625
0.1,0.6300000000000003,0.7595984658065683,0.7625
0.1,0.6400000000000003,0.7563147017050005,0.759375
0.1,0.6500000000000004,0.7545482537191028,0.7578125
0.1,0.6600000000000004,0.7545621852422526,0.7578125
0.1,0.6700000000000004,0.7527536231884057,0.75625
0.1,0.6800000000000004,0.7511251076658053,0.7546875
0.1,0.6900000000000004,0.744366644057597,0.7484375
0.1,0.7000000000000004,0.7427127300489172,0.746875
0.15000000000000002,0.3,0.7396284829721362,0.7375
0.15000000000000002,0.31,0.7411752875654499,0.7390625
0.15000000000000002,0.32,0.7487211574348503,0.746875
0.15000000000000002,0.33,0.7531091278180204,0.7515625
0.15000000000000002,0.34,0.7546622884421611,0.753125
0.15000000000000002,0.35000000000000003,0.7560784174925278,0.7546875
0.15000000000000002,0.36000000000000004,0.7574656194019568,0.75625
0.15000000000000002,0.37000000000000005,0.7574849879848528,0.75625
0.15000000000000002,0.38000000000000006,0.7528440198066271,0.7515625
0.15000000000000002,0.39000000000000007,0.7541298756061564,0.753125
0.15000000000000002,0.4000000000000001,0.7570943710912138,0.75625
0.15000000000000002,0.4100000000000001,0.7569964393863765,0.75625
0.15000000000000002,0.4200000000000001,0.7571981222146239,0.75625
